hhid,latitude,longitude,GAEZ_57class1
1482,11.985398,38.027687,7
1483,11.985466,38.027796,7
1484,11.986031,38.027621,7
1485,11.986147,38.027621,7
1486,11.986285,38.027737,7
1487,11.986225,38.027616,7
1488,11.986267,38.027659,7
1489,11.986403,38.027739,7
1490,11.932338,37.987445,10
1491,11.933392,37.98645,10
1492,11.934948,37.987362,10
1493,11.935308,37.986501,10
1494,11.935051,37.986597,10
1495,11.935555,37.987377,10
1496,11.936108,37.987715,10
1497,11.9365,37.987727,10
1498,11.936467,37.988105,10
1499,11.937507,37.989032,10
1500,11.937807,37.989075,10
1501,11.938548,37.98968,10
1502,11.940293,37.990568,10
1503,11.940042,37.98968,10
1504,11.938828,37.989193,10
1505,11.938837,37.98916,10
1506,11.938659,37.98908,10
1507,11.936825,37.987743,10
1508,11.938183,37.98717,10
1509,11.938063,37.986293,10
1510,11.937725,37.98653,10
1511,11.93782,37.986602,10
1512,11.93686,37.986896,10
1513,11.93668,37.986982,10
1514,11.936427,37.986305,10
1515,11.936906,37.985688,10
1516,11.936322,37.984479,10
1517,11.936115,37.984258,10
1518,11.934907,37.984787,10
1519,11.934852,37.984491,10
1520,11.934498,37.98534,10
1521,11.933357,37.984998,10
1522,11.933288,37.984742,10
1523,11.933649,37.984498,10
1524,11.933764,37.984783,10
1525,11.9353,37.983434,10
1526,11.935325,37.983515,10
1527,11.935212,37.98343,10
1528,11.936497,37.982747,10
1529,11.936672,37.98267,10
1530,11.93656,37.982552,10
1531,11.935723,37.981944,10
1532,11.935737,37.982208,10
1533,11.934345,37.983565,10
1534,11.933913,37.98153,10
1535,11.933508,37.982463,10
1536,11.933018,37.982999,10
1537,11.932755,37.983472,10
1538,11.932754,37.983606,10
1539,11.93242,37.983538,10
1540,11.932412,37.98349,10
1541,11.932727,37.983008,10
1542,11.93252,37.982693,10
1543,11.93216,37.981913,10
1544,11.93187,37.981014,10
1545,11.931946,37.980899,10
1546,11.931164,37.981511,10
1547,11.931575,37.981798,10
1548,11.931647,37.983052,10
1549,11.931715,37.983958,10
1550,11.931777,37.98426,10
1551,11.931985,37.983695,10
1552,11.932027,37.983683,10
1553,11.93191,37.983328,10
1554,11.932017,37.983325,10
1555,11.932624,37.980199,10
1556,11.932678,37.980022,10
1557,11.933118,37.980183,10
1558,11.93302,37.979817,10
1559,11.933977,37.979151,10
1560,11.933948,37.979842,10
1561,11.934672,37.980582,10
1562,11.935241,37.980553,10
1563,11.937363,37.987992,10
1564,11.942198,37.989639,10
1565,11.942179,37.989928,10
1566,11.943661,37.989228,10
1567,11.942965,37.990282,10
1568,11.943115,37.990407,10
1569,11.943056,37.990599,10
1570,11.944175,37.989778,10
1571,11.943185,37.988735,10
1572,11.942669,37.988427,10
1573,11.938541,37.986137,10
1574,11.938562,37.986048,10
1575,11.956243,37.949745,10
1576,11.956311,37.949846,10
1577,11.956379,37.949808,10
1578,11.956046,37.94851,10
1579,11.956358,37.948662,10
1580,11.956714,37.949057,10
1581,11.956759,37.949101,10
1582,11.957069,37.948884,10
1583,11.957759,37.948312,10
1584,11.956577,37.947455,10
1585,11.945702,37.956859,10
1586,11.945651,37.956987,10
1587,11.945944,37.957099,10
1588,11.945858,37.957177,10
1589,11.946,37.956471,10
1590,11.946026,37.956484,10
1591,11.94677,37.956691,10
1592,11.946727,37.956705,10
1593,11.946677,37.957333,10
1594,11.946779,37.957351,10
1595,11.946747,37.957861,10
1596,11.94694,37.958862,10
1597,11.947457,37.95869,10
1598,11.947371,37.95863,10
1599,11.947141,37.958716,10
1600,11.946897,37.960254,10
1601,11.946981,37.960215,10
1602,11.947144,37.960382,10
1603,11.946472,37.960253,10
1604,11.947594,37.961679,10
1605,11.947687,37.961734,10
1606,11.94781,37.961612,10
1607,11.949035,37.960997,10
1608,11.949128,37.961008,10
1609,11.94964,37.961147,10
1610,11.949652,37.961547,10
1611,11.949609,37.961507,10
1612,11.948961,37.962133,10
1613,11.948982,37.962296,10
1614,11.949869,37.962758,10
1615,11.949889,37.963015,10
1616,11.949694,37.963724,10
1617,11.949534,37.96367,10
1618,11.950301,37.961966,10
1619,11.950297,37.962035,10
1620,11.951193,37.961143,10
1621,11.951383,37.961162,10
1622,11.952176,37.959654,10
1623,11.952216,37.959629,10
1624,11.952233,37.960552,10
1625,11.952689,37.959666,10
1626,11.953031,37.960306,10
1627,11.95305,37.960322,10
1628,11.952972,37.960432,10
1629,11.953789,37.959151,10
1630,11.953599,37.959049,10
1631,11.954878,37.960359,10
1632,11.955594,37.959763,10
1633,11.955862,37.959909,10
1634,11.956166,37.959021,10
1635,11.956457,37.959137,10
1636,11.956266,37.958823,10
1637,11.953543,37.958406,10
1638,11.950613,37.959979,10
1639,11.950525,37.960022,10
1640,11.956124,37.953032,10
1641,11.955379,37.952327,10
1642,11.955269,37.952203,10
1643,11.95536,37.952132,10
1644,11.954764,37.950959,10
1645,11.954259,37.951393,10
1646,11.955414,37.951008,10
1647,11.956864,37.952052,10
1648,11.958328,37.952636,10
1649,11.958368,37.952619,10
1650,11.958424,37.953293,10
1651,11.958385,37.953195,10
1652,11.95833,37.953123,10
1653,11.957792,37.952511,10
1654,11.957752,37.952477,10
1655,11.958879,37.949852,10
1656,11.959321,37.951988,10
1657,11.959226,37.951904,10
1658,11.959387,37.95204,10
1659,11.959946,37.95236,10
1660,11.959394,37.952455,10
1661,11.959526,37.953601,10
1662,11.960446,37.954401,10
1663,11.960431,37.954566,10
1664,11.960627,37.954471,10
1665,11.960406,37.953829,10
1666,11.957328,37.953897,10
1667,11.957443,37.95396,10
1668,11.949155,37.965923,10
1669,11.949089,37.965913,10
1670,11.947865,37.966858,9
1671,11.947181,37.967143,9
1672,11.946572,37.968048,9
1673,11.946648,37.968398,9
1674,11.944873,37.969395,9
1675,11.944154,37.968252,9
1676,11.94415,37.968525,9
1677,11.944277,37.968929,9
1678,11.944913,37.96897,9
1679,11.945554,37.965848,10
1680,11.94553,37.965948,10
1681,11.945074,37.967106,9
1682,11.944361,37.9669,9
1683,11.944425,37.967155,9
1684,11.94416,37.96747,9
1685,11.944245,37.967896,9
1686,11.944213,37.963276,10
1687,11.943798,37.96302,10
1688,11.943715,37.962996,10
1689,11.943881,37.963136,10
1690,11.944026,37.96337,10
1691,11.944073,37.962932,10
1692,11.944109,37.962908,10
1693,11.945983,37.964018,10
1694,11.945365,37.963548,10
1695,11.946682,37.963202,10
1696,11.946703,37.963193,10
1697,11.946561,37.961542,10
1698,11.94645,37.961632,10
1699,11.945691,37.959962,10
1700,11.945004,37.958512,10
1701,11.945076,37.958237,10
1702,11.943894,37.956633,10
1703,11.861085,37.921313,10
1704,11.861828,37.922212,10
1705,11.861715,37.921611,10
1706,11.861373,37.921988,10
1707,11.860625,37.9224,10
1708,11.860598,37.923487,10
1709,11.860709,37.923952,10
1710,11.860068,37.924192,10
1711,11.86148,37.92221,10
1712,11.861783,37.922276,10
1713,11.861639,37.922491,10
1714,11.863037,37.923138,10
1715,11.86278,37.923568,10
1716,11.86367,37.923607,10
1717,11.863125,37.92453,10
1718,11.864034,37.924366,10
1719,11.8641,37.92478,10
1720,11.864417,37.925891,10
1721,11.864477,37.925832,10
1722,11.864804,37.925785,10
1723,11.865045,37.926548,10
1724,11.865612,37.92699,10
1725,11.865403,37.927485,10
1726,11.864667,37.927618,10
1727,11.864205,37.92763,10
1728,11.86427,37.927548,10
1729,11.863757,37.926297,10
1730,11.86304,37.92695,10
1731,11.861778,37.928605,10
1732,11.862485,37.928998,10
1733,11.862455,37.930123,10
1734,11.861799,37.924413,10
1735,11.862217,37.924675,10
1736,11.862163,37.924933,10
1737,11.861313,37.924803,10
1738,11.858773,37.9251,10
1739,11.858957,37.925885,10
1740,11.858189,37.925942,10
1741,11.858216,37.927096,10
1742,11.858142,37.927465,10
1743,11.858442,37.927095,10
1744,11.858964,37.926764,10
1745,11.858818,37.92618,10
1746,11.859293,37.926278,10
1747,11.859488,37.927277,10
1748,11.860642,37.927235,10
1749,11.860619,37.92729,10
1750,11.860953,37.926745,10
1751,11.86148,37.926068,10
1752,11.86159,37.925992,10
1753,11.861553,37.926785,10
1754,11.855525,37.925007,10
1755,11.855621,37.925222,10
1756,11.855328,37.92548,10
1757,11.854015,37.926438,10
1758,11.853846,37.926467,10
1759,11.853416,37.925755,10
1760,11.853322,37.924567,50
1761,11.852287,37.92486,50
1762,11.852938,37.92677,10
1763,11.853166,37.926755,10
1764,11.855672,37.926649,10
1765,11.863477,37.928752,10
1766,11.855703,37.926662,10
1767,11.855992,37.926632,10
1768,11.854352,37.92721,10
1769,11.854646,37.92725,10
1770,11.85414,37.927813,10
1771,11.855056,37.927599,10
1772,11.856602,37.927568,10
1773,11.855795,37.928354,10
1774,11.855947,37.928653,10
1775,11.857337,37.92907,10
1776,11.855316,37.929294,10
1777,11.854896,37.929585,10
1778,11.856205,37.929942,10
1779,11.85564,37.93043,10
1780,11.854504,37.931057,10
1781,11.85393,37.930967,10
1782,11.853603,37.930037,10
1783,11.854021,37.930507,10
1784,11.854125,37.930486,10
1785,11.854108,37.928942,10
1786,11.852988,37.931178,10
1787,11.870801,37.931752,10
1788,11.870717,37.931775,10
1789,11.870922,37.933015,10
1790,11.871088,37.933725,9
1791,11.870718,37.933728,9
1792,11.870656,37.933602,9
1793,11.8707,37.933693,9
1794,11.870625,37.933752,9
1795,11.870977,37.93325,10
1796,11.870942,37.933228,10
1797,11.870967,37.933203,10
1798,11.870968,37.933187,10
1799,11.870928,37.933192,10
1800,11.870968,37.933187,10
1801,11.870975,37.933144,10
1802,11.870916,37.933173,10
1803,11.870872,37.933208,10
1804,11.871134,37.934094,9
1805,11.871082,37.934223,9
1806,11.871284,37.934067,9
1807,11.871277,37.934277,9
1808,11.871128,37.934483,9
1809,11.871,37.934835,9
1810,11.871388,37.934765,9
1811,11.871617,37.934993,9
1812,11.87176,37.935381,9
1813,11.871748,37.935346,9
1814,11.871759,37.935393,9
1815,11.871653,37.935295,9
1816,11.872173,37.937117,9
1817,11.872117,37.937289,9
1818,11.879652,37.976497,9
1819,11.878172,37.976523,9
1820,11.878172,37.976523,9
1821,11.877293,37.975815,9
1822,11.877293,37.975815,9
1823,11.877183,37.97579,9
1824,11.877371,37.975141,9
1825,11.877098,37.97536,9
1826,11.877212,37.973702,9
1827,11.877483,37.973763,9
1828,11.878295,37.975108,9
1829,11.877443,37.97251,9
1830,11.877165,37.972132,9
1831,11.87698,37.970608,9
1832,11.875513,37.970057,9
1833,11.875493,37.970063,9
1834,11.876468,37.968635,9
1835,11.876403,37.967603,9
1836,11.876498,37.96765,9
1837,11.876607,37.96812,9
1838,11.878555,37.971268,9
1839,11.878107,37.972198,9
1840,11.878438,37.97275,9
1841,11.879062,37.972101,9
1842,11.879192,37.973162,9
1843,11.879393,37.97397,9
1844,11.879657,37.974683,9
1845,11.878772,37.974428,9
1846,11.882173,37.976947,9
1847,11.882212,37.975653,9
1848,11.881918,37.974608,9
1849,11.882223,37.974208,9
1850,11.881103,37.9753,9
1851,11.880338,37.974694,9
1852,11.880377,37.974603,9
1853,11.88092,37.97368,9
1854,11.880978,37.973337,9
1855,11.88078,37.972833,9
1856,11.881395,37.972995,9
1857,11.881703,37.973168,9
1858,11.881698,37.97308,9
1859,11.882352,37.972898,9
1860,11.883358,37.97259,10
1861,11.88403,37.972535,10
1862,11.883197,37.97593,9
1863,11.893373,37.9678,10
1864,11.893083,37.96735,10
1865,11.892407,37.966832,10
1866,11.891997,37.966908,10
1867,11.891153,37.966347,10
1868,11.89164,37.968168,10
1869,11.890712,37.968305,10
1870,11.891417,37.96938,10
1871,11.890633,37.970262,10
1872,11.890468,37.971197,10
1873,11.89006,37.971088,10
1874,11.889662,37.971513,10
1875,11.88961,37.971843,10
1876,11.889802,37.972027,10
1877,11.889937,37.972005,10
1878,11.890395,37.972007,10
1879,11.890517,37.972008,10
1880,11.889822,37.972802,10
1881,11.889768,37.972885,10
1882,11.89324,37.96969,10
1883,11.893354,37.970598,10
